kernel_size,poolsize,Dropout_1,Activation_conv2D,Filters,Dropout_2,Hidden_neurons,Dense_Activation,val_loss,val_acc,val_auc_pr
3,3,0.1,relu,120,0.2,6,relu,0.06930489838123322,0.9750003218650818,0.9937775135040283
3,3,0.1,relu,120,0.2,12,relu,0.054216500371694565,0.9802604913711548,0.9963741302490234
3,3,0.1,relu,120,0.2,24,relu,0.04157882556319237,0.9849116206169128,0.997731626033783
3,3,0.1,relu,120,0.2,32,relu,0.050334203988313675,0.9805788993835449,0.9945739507675171
3,3,0.1,relu,120,0.2,64,relu,0.036515552550554276,0.9867803454399109,0.9974815845489502
3,3,0.1,relu,120,0.2,6,sigmoid,0.087995246052742,0.9648122191429138,0.9917673468589783
3,3,0.1,relu,120,0.2,12,sigmoid,0.06571824103593826,0.9751110672950745,0.9951754808425903
3,3,0.1,relu,120,0.2,24,sigmoid,0.05890784412622452,0.9779765009880066,0.9961453080177307
3,3,0.1,relu,120,0.2,32,sigmoid,0.05935472622513771,0.9771459698677063,0.995495080947876
3,3,0.1,relu,120,0.2,64,sigmoid,0.050706397742033005,0.9812018275260925,0.9968757629394531
3,3,0.1,relu,120,0.2,6,tanh,0.0722900778055191,0.9738790988922119,0.9930928945541382
3,3,0.1,relu,120,0.2,12,tanh,0.07108528912067413,0.973366916179657,0.9930508732795715
3,3,0.1,relu,120,0.2,24,tanh,0.0646771788597107,0.976744532585144,0.9940086603164673
3,3,0.1,relu,120,0.2,32,tanh,0.07477670907974243,0.971595048904419,0.9923521876335144
3,3,0.1,relu,120,0.2,64,tanh,0.06598959863185883,0.976841390132904,0.9939092397689819
3,3,0.1,relu,120,0.3,6,relu,0.08625515550374985,0.9655181765556335,0.9879554510116577
3,3,0.1,relu,120,0.3,12,relu,0.0624413788318634,0.9776442646980286,0.9947280883789062
3,3,0.1,relu,120,0.3,24,relu,0.0417482852935791,0.9856175780296326,0.996985912322998
3,3,0.1,relu,120,0.3,32,relu,0.046559084206819534,0.9827106595039368,0.9957475066184998
3,3,0.1,relu,120,0.3,64,relu,0.038035307079553604,0.9864481091499329,0.9979275465011597
3,3,0.1,relu,120,0.3,6,sigmoid,0.10073740035295486,0.961406946182251,0.990692675113678
3,3,0.1,relu,120,0.3,12,sigmoid,0.0796811506152153,0.9707922339439392,0.9941087961196899
3,3,0.1,relu,120,0.3,24,sigmoid,0.0640905573964119,0.9759416580200195,0.9949183464050293
3,3,0.1,relu,120,0.3,32,sigmoid,0.059226471930742264,0.9778657555580139,0.9954383969306946
3,3,0.1,relu,120,0.3,64,sigmoid,0.05740205943584442,0.9782810211181641,0.9960713982582092
3,3,0.1,relu,120,0.3,6,tanh,0.07156588137149811,0.9747235178947449,0.9936041831970215
3,3,0.1,relu,120,0.3,12,tanh,0.07907169312238693,0.9702385067939758,0.9914101958274841
3,3,0.1,relu,120,0.3,24,tanh,0.06744922697544098,0.9763430953025818,0.994508683681488
3,3,0.1,relu,120,0.3,32,tanh,0.09415996819734573,0.964286208152771,0.9908180236816406
3,3,0.1,relu,120,0.3,64,tanh,0.07371485233306885,0.9727993607521057,0.9927040338516235
