AN00,AN01,AN02,AN03,AN04,AN05,AN06,AN07,AN08,AN09,AN10,AN11,AN12,AN13,AN14,AN15,AN16,AN17,AN18,AN19,AN20,AN21,AN22,AN23,AN24,AN25,AN26,AN27,AN28,AN29,M00,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,BN00,BN01,BN02,BN03,BN04,BN05,BN06,BN07,BN08,BN09,BN10,BN11,BN12,BN13,BN14,BN15,BN16,BN17,BN18,BN19,BN20,BN21,BN22,BN23,BN24,BN25,BN26,BN27,BN28,BN29,Detector,sm,ADCSUM,MXmax,MXavg,MXRatio,Amax,Aavg,ARatio,Bmax,Bavg,BRatio,Asum,MXsum,Bsum
19,45,46,45,48,48,35,28,25,20,21,18,17,16,15,15,15,17,13,13,12,14,13,13,12,12,13,11,10,11,11,17,21,37,63,79,64,51,50,45,37,33,31,26,24,24,20,20,21,15,17,16,17,17,15,13,15,11,15,14,36,43,35,25,20,18,16,16,15,16,12,14,13,13,12,14,15,14,12,14,13,15,13,13,9,10,12,12,10,11,253,8,1970,79,27.966666666666665,0.35400843881856536,48,21.333333333333332,0.4444444444444444,43,16.366666666666667,0.3806201550387597,640,839,491
9,12,11,15,12,13,19,25,24,23,26,54,71,59,50,40,32,25,20,20,19,18,18,17,18,17,16,16,15,14,11,10,10,11,8,11,10,10,11,11,20,63,95,106,123,100,73,52,41,35,32,28,27,23,24,23,19,19,19,20,11,12,12,10,12,11,15,15,14,15,14,15,19,18,21,19,16,18,20,20,18,17,13,12,12,11,13,11,13,12,253,8,2212,123,34.833333333333336,0.2831978319783198,71,24.266666666666666,0.3417840375586854,21,14.633333333333333,0.6968253968253968,728,1045,439
26,39,35,27,17,17,15,15,15,14,13,14,13,11,13,13,13,11,12,11,10,9,11,11,12,11,12,11,13,10,58,87,69,51,50,55,51,41,31,25,22,22,21,19,18,17,16,17,19,22,35,45,39,30,24,22,18,20,16,16,8,11,7,10,10,9,11,11,9,10,10,13,9,9,12,13,11,15,16,19,23,27,21,17,15,13,12,13,10,12,254,8,1816,87,32.53333333333333,0.37394636015325666,39,15.133333333333333,0.38803418803418804,27,12.866666666666667,0.47654320987654325,454,976,386
13,10,10,9,10,10,15,12,13,12,14,15,18,21,23,20,20,17,17,18,17,15,14,14,14,13,14,12,11,12,10,11,13,15,12,17,14,15,18,19,23,25,29,28,28,30,31,30,33,35,36,34,29,22,20,19,16,16,16,16,11,10,10,9,9,11,11,9,11,9,12,9,11,13,13,11,12,13,17,26,26,21,20,16,14,11,14,10,12,11,256,8,1485,36,22.0,0.6111111111111112,23,14.433333333333334,0.6275362318840579,26,13.066666666666666,0.5025641025641026,433,660,392
14,14,20,21,21,25,28,33,47,46,32,27,27,32,33,26,23,21,20,20,16,17,19,15,14,16,13,14,11,11,10,10,11,12,12,12,22,30,35,36,36,35,37,45,50,44,39,33,36,35,31,25,21,19,17,16,17,15,19,15,10,12,10,11,12,13,13,14,19,20,18,17,25,49,54,49,43,37,32,27,27,23,19,19,18,18,14,19,16,14,257,8,2123,50,25.833333333333332,0.5166666666666666,47,22.533333333333335,0.4794326241134752,54,22.4,0.4148148148148148,676,775,672
10,11,20,55,72,61,42,33,27,23,19,15,18,17,16,16,15,15,15,14,14,14,14,15,14,12,13,11,14,11,11,9,9,9,11,10,9,12,9,10,11,11,9,10,9,9,11,12,13,41,138,159,106,71,51,41,36,33,28,27,9,13,16,14,13,14,10,12,13,9,10,11,10,11,10,10,10,8,10,12,12,13,11,10,10,11,10,12,9,12,418,13,1906,159,30.833333333333332,0.19392033542976939,72,21.533333333333335,0.2990740740740741,16,11.166666666666666,0.6979166666666666,646,925,335
7,9,11,14,22,34,39,38,33,25,21,18,19,15,15,14,16,15,14,13,13,13,12,14,9,13,14,13,12,12,13,27,43,56,57,61,53,40,31,26,24,20,20,17,17,18,16,15,15,16,13,16,12,12,14,14,11,10,11,12,12,7,10,12,9,11,10,10,11,11,10,13,15,17,19,27,34,42,45,47,35,28,23,19,19,18,16,11,14,14,419,13,1796,61,23.666666666666668,0.3879781420765028,39,17.233333333333334,0.4418803418803419,47,18.966666666666665,0.4035460992907801,517,710,569
18,21,17,12,13,15,11,9,11,9,11,12,8,11,12,10,9,11,10,10,10,11,11,11,11,10,7,9,11,9,22,36,38,32,32,26,22,21,17,18,17,14,15,15,13,13,12,14,12,12,12,11,11,11,11,12,10,11,15,12,12,12,14,16,21,23,22,21,20,19,22,17,17,19,19,18,20,17,17,14,13,15,12,11,12,11,11,11,13,10,13,0,1336,38,17.233333333333334,0.4535087719298246,21,11.333333333333334,0.5396825396825398,23,15.966666666666667,0.6942028985507246,340,517,479
10,15,57,72,50,35,27,23,21,18,17,18,14,15,16,14,16,15,18,13,13,11,11,10,12,12,13,11,10,12,9,28,144,190,128,81,62,53,44,39,37,35,35,33,32,29,25,25,21,22,22,19,17,18,16,16,17,18,16,14,13,14,14,20,15,13,12,13,15,11,18,20,23,39,50,42,32,27,24,23,24,21,19,16,17,16,16,15,15,12,15,0,2453,190,41.5,0.21842105263157896,72,19.966666666666665,0.2773148148148148,50,20.3,0.406,599,1245,609
10,19,25,24,22,27,27,20,19,18,17,16,14,12,11,11,12,11,13,11,12,11,12,11,10,12,11,11,13,14,11,14,25,29,31,50,54,43,36,32,26,26,25,27,29,27,24,24,19,17,21,19,17,17,15,16,12,14,14,14,8,9,12,11,7,14,15,13,12,13,12,14,14,18,22,24,25,22,23,23,40,42,33,24,19,16,15,16,14,13,79,2,1727,54,24.266666666666666,0.4493827160493827,27,15.2,0.5629629629629629,42,18.1,0.430952380952381,456,728,543
9,12,11,14,17,18,17,13,13,11,16,15,14,12,14,14,12,11,10,12,12,10,9,13,11,9,12,10,12,9,10,12,9,19,22,20,20,23,22,26,44,42,39,29,25,29,38,45,37,30,25,21,20,19,15,16,18,13,16,16,10,10,9,10,11,11,11,11,11,14,16,15,15,16,14,17,36,48,43,32,31,25,23,19,18,16,15,15,15,13,80,2,1642,45,24.0,0.5333333333333333,18,12.4,0.6888888888888889,48,18.333333333333332,0.3819444444444444,372,720,550
24,36,37,30,25,21,20,23,26,23,23,20,19,18,15,15,15,13,16,15,13,12,14,15,13,12,13,11,13,11,11,16,17,16,14,14,16,27,37,30,32,34,33,29,24,28,26,25,26,21,19,16,15,16,15,15,14,13,14,14,9,8,10,8,10,9,9,11,12,11,10,12,11,11,11,12,13,14,15,15,17,11,13,13,11,11,12,11,11,10,115,3,1529,37,20.9,0.5648648648648649,37,18.7,0.5054054054054054,17,11.366666666666667,0.6686274509803922,561,627,341
37,92,79,56,41,35,33,30,24,21,22,20,21,18,19,16,16,16,15,14,15,14,13,14,14,11,11,11,13,10,28,69,57,42,37,38,44,38,34,29,29,29,28,27,27,28,24,23,20,16,19,17,19,16,18,16,14,10,15,12,8,11,9,10,11,13,12,12,14,10,14,14,13,13,16,18,20,15,14,12,14,12,10,12,11,11,12,12,12,12,174,5,1951,69,27.433333333333334,0.39758454106280194,92,25.033333333333335,0.27210144927536234,20,12.566666666666666,0.6283333333333333,751,823,377
24,50,52,53,58,47,36,32,27,23,22,22,22,22,19,19,16,15,15,16,15,14,13,12,12,14,13,11,11,12,13,20,20,28,38,39,33,28,36,37,35,31,38,43,35,34,44,54,42,34,35,34,29,26,21,18,20,18,17,17,10,10,9,11,9,10,11,9,12,11,11,11,17,21,19,22,51,73,60,49,76,90,64,46,36,29,28,25,21,24,175,5,2509,54,30.566666666666666,0.5660493827160494,58,23.9,0.41206896551724137,90,29.166666666666668,0.32407407407407407,717,917,875
20,38,42,39,42,41,34,29,29,25,23,20,21,21,18,18,18,19,19,16,15,15,14,15,11,13,12,12,10,12,10,12,11,13,14,16,16,17,19,19,20,23,25,24,22,29,66,79,62,46,41,35,31,22,20,21,19,20,22,16,9,9,9,11,11,8,10,12,8,12,10,10,14,10,13,16,34,47,35,32,37,36,30,22,19,18,15,16,14,14,177,5,1992,79,26.333333333333332,0.3333333333333333,42,22.033333333333335,0.5246031746031746,47,18.033333333333335,0.3836879432624114,661,790,541
20,23,21,18,18,19,23,22,24,18,17,16,15,15,13,14,12,13,12,12,13,11,11,12,10,10,11,11,11,13,17,19,20,18,28,55,71,67,60,47,46,42,36,32,32,31,30,27,32,30,28,24,21,21,19,18,17,18,16,13,9,10,9,10,13,16,21,22,19,18,21,20,23,20,19,26,28,42,74,76,62,43,31,26,23,22,20,18,21,20,186,6,2175,71,31.166666666666668,0.43896713615023475,24,15.266666666666667,0.6361111111111112,76,26.066666666666666,0.3429824561403509,458,935,782
